Clue (6),ANSWER
 Excite (4),GRAB
 Snatch (4),GRAB
 Comedic Allen (6),GRACIE
 Cap-and-gown wearer (4),GRAD
 Common suffix in Russian place names (4),GRAD
 Steffi of tennis (4),GRAF
 ___ Spee (4),GRAF
 Transplant. in a way (5),GRAFT
 15.432 grains (4),GRAM
 First of its kind (10),GRANDDADDY
 Ma's ma (6),GRANNY
" ""American Gothic"" painter Wood (5)",GRANT
 Lee opponent (5),GRANT
 Oenophile's adjective (5),GRAPY
 Catch on (5),GRASP
 Like a bowling green (6),GRASSY
 Persona non __ (5),GRATA
 Persona non __ (5),GRATA
 Prepare parmesan (5),GRATE
 Prepare the Romano (5),GRATE
 At no cost (6),GRATIS
 Image type (6),GRAVEN
 Lubricant (6),GREASE
 It's slippery (10),GREASEDPIG
 1.728 (10),GREATGROSS
 Artist El __ (5),GRECO
 Love of money (5),GREED
 Avaricious (6),GREEDY
 Chip-shot destination (5),GREEN
 Ralph Nader's party (5),GREEN
 Unripe (5),GREEN
 Special Forces member (10),GREENBERET
 Kind of keeper (6),GREENS
 Actor Kinnear (4),GREG
 College srs' exams (4),GRES
 Actress Garbo (5),GRETA
 Miss Garbo (5),GRETA
 Miss Garbo (5),GRETA
 Marathon star Waitz (5),GRETE
 Fairy tale heroine (6),GRETEL
 __ Green. Scotland (6),GRETNA
 Got big (4),GREW
" ""Peer Gynt"" composer (5)",GRIEG
 Decorative grating (6),GRILLE
 Cheshire cat feature (4),GRIN
 Puckish expression (4),GRIN
 Bump partner (5),GRIND
 Laborious routine (5),GRIND
 African storyteller (5),GRIOT
 Knife handle (4),GRIP
 Beef (5),GRIPE
 Complain (5),GRIPE
 Backbone (4),GRIT
 Stick-to-itiveness (4),GRIT
 Pun responses (6),GROANS
 Ululations (6),GROANS
" ""Grand Canyon Suite"" composer (5)",GROFE
 Sailor's drink (4),GROG
 An LP has only one (6),GROOVE
 Harass. in a physical way (5),GROPE
 144 (5),GROSS
 Oscar. for one (6),GROUCH
 Complain (6),GROUSE
 Crab (6),GROUSE
 Lemons' locale (5),GROVE
 Orange orchard (5),GROVE
 Mushroom (4),GROW
 Eats (4),GRUB
 It's unhealthy to hold one (6),GRUDGE
 The sun. for example (5),GSTAR
 Jelly fruit (5),GUAVA
 Jelly fruit (5),GUAVA
 Liberia neighbor (6),GUINEA
 False appearance (5),GUISE
 Pretext (5),GUISE
 __ Stream (warm current) (4),GULF
 Coastal aquatic bird (4),GULL
 Sea bird (4),GULL
 Resin-producing tree (10),GUMBOLIMBO
 Political hot potato (10),GUNCONTROL
" ""Peter ___"" (Mancini hit) (4)",GUNN
 Personal advisor (4),GURU
 Pundit (4),GURU
 Richard Simmons. fitness-wise (4),GURU
 Strong rush (4),GUST
 Spirited enjoyment (5),GUSTO
 Zest (5),GUSTO
 Zest (5),GUSTO
 Sudden bursts (5),GUSTS
 Dancer Verdon (4),GWEN
 Exercise spots (4),GYMS
 Lifting locales (4),GYMS
 Does out of (4),GYPS
 First name in burlesque (5),GYPSY
 Spiral (6),GYRATE
 Circle. in combinations (4),GYRO
 Lamb in a pita (4),GYRO
 Pita sandwich (4),GYRO
 Greek sandwiches (5),GYROS
 Pita sandwiches (5),GYROS
 Child actor Lukas (4),HAAS
 __ corpus (6),HABEAS
" ""___ espanol?"" (5)",HABLA
 Hot spot (5),HADES
 Mythological underworld (5),HADES
 Entertained. as guests (5),HADIN
 Pilgrimage to Mecca (4),HADJ
 Wore (5),HADON
 Wore (5),HADON
" ""It ___ Be You"" (5)",HADTO
 Horrible comics character (5),HAGAR
" Surname of singing twins on ""Hee Haw"" (5)",HAGER
 Crones (4),HAGS
" ""Very funny!"" (4)",HAHA
 That's a laugh (4),HAHA
 Jessica of the PTL scandal (4),HAHN
 Surprise announcements (4),HAHS
 Israeli port (5),HAIFA
 Poetry form (5),HAIKU
 Greeting for Caesar (4),HAIL
 Thunderstorm fallout (4),HAIL
 1967 rock musical (4),HAIR
 1967 rock musical (4),HAIR
 Source of Samson's strength (4),HAIR
 Coif (6),HAIRDO
 Like the abominable snowman (5),HAIRY
 Hirsute trumpeter? (10),HAIRYJAMES
 Half of Hispaniola (5),HAITI
 Part of Hispaniola (5),HAITI
" ""Gilligan's Island"" Skipper (4)",HALE
 Patriot Nathan (4),HALE
 Healthier (5),HALER
 50 percent (4),HALF
 Grapefruit serving (4),HALF
 Kennedy portrait locale (4),HALF
 Place for a lecture (4),HALL
 Place for a pass? (4),HALL
 Tammany and Faneuil (5),HALLS
 Angelic symbol (4),HALO
 Aura (4),HALO
 Head light? (4),HALO
 Heavenly headwear (4),HALO
 Majestic atmosphere (4),HALO
 Moon surrounder. at times (4),HALO
 Moon surrounder. at times (4),HALO
 Saint identifier (4),HALO
 Auras (5),HALOS
 Greetings at the Pearly Gates? (5),HALOS
" ""The Laughing Cavalier"" painter (4)",HALS
" ""The Laughing Cavalier"" painter (4)",HALS
 Dutch painter (4),HALS
 Dobbin's lead (6),HALTER
 Breaks off (5),HALTS
 Play golf using the same number of strokes as your opponent. (5),HALVE
 Descendant of Noah's son (6),HAMITE
 Overacted (10),HAMMEDITUP
 ___ rye (5),HAMON
 They're sometimes sugar-cured (4),HAMS
 Mandlikova of tennis (4),HANA
 Mandlikova of tennis (4),HANA
 Follows back and fore (4),HAND
 Kind of organ or brake (4),HAND
 Precedes over and out (4),HAND
 Round of applause (4),HAND
 CBer's name (6),HANDLE
 Cope with (6),HANDLE
 Clock parts (5),HANDS
 Rounds of applause (5),HANDS
 At close quarters (10),HANDTOHAND
" ""___ ten!"" (4)",HANG
 Knack (4),HANG
 __ glide (4),HANG
 Pocketbook item (5),HANKY
" ""__ and Her Sisters"" (6)",HANNAH
 Capital of Vietnam (5),HANOI
 Red River city (5),HANOI
 Vietnam's capital (5),HANOI
 Actor Conried (4),HANS
 Skater Brinker of children's literature (4),HANS
 Bug (6),HARASS
 No picnic (4),HARD
 Tough situation (10),HARDCHEESE
" ""Work smarter. not __"" (6)",HARDER
 Ruthless (10),HARDFISTED
 Franklin W. Dixon's boys (5),HARDY
 Fabled race loser (4),HARE
 Hound's prey (4),HARE
 Leporine creature (4),HARE
 Long-eared lagomorph (4),HARE
 Long-eared lagomorph (4),HARE
 Storied loser (4),HARE
 Women's apartments? (6),HAREMS
 Leporine creatures (5),HARES
 Rabbit relatives (5),HARES
 They have scuts (5),HARES
 Mata __ (4),HARI
 Mata ___ (4),HARI
 Mata ___ (4),HARI
 Spydom name (4),HARI
 Home of the Globetrotters (6),HARLEM
 New York City area (6),HARLEM
" ""Hog"" cycle (6)",HARLEY
" ""__'s Ghost"" (Mailer novel) (6)",HARLOT
" ""No ___. no foul"" (4)",HARM
 Instrument for a Marx Brother (4),HARP
 Symbol of Ireland (4),HARP
 Arthur Marx. familiarly (5),HARPO
 Carries on excessively (5),HARPS
 Fishwife (5),HARPY
 Draconian (5),HARSH
 Like many realities (5),HARSH
 Severe (5),HARSH
 Dramatist Moss (4),HART
 Lyricist who wrote with Rodgers (4),HART
" ""The Luck of Roaring Camp and Other Sketches"" author (5)",HARTE
" ""The Outcasts of Poker Flat"" author (5)",HARTE
 Roaring Camp creator Bret (5),HARTE
 Beanery fare (4),HASH
 Does not possess (5),HASNT
 Lacks (5),HASNT
 Owns a more robust Windows operating system (5),HASNT
 A pin may go through it (4),HASP
 Briefcase closer (4),HASP
 Hinged fastener (4),HASP
 King of Morocco (6),HASSAN
 Bug (6),HASSLE
" ""__ la vista. baby!"" (5)",HASTA
 Waste maker (5),HASTE
 Waste maker (5),HASTE
 Abhor (4),HATE
 Abhor (4),HATE
 Can't stand (4),HATE
 Despise (4),HATE
 Despise (4),HATE
 More than dislike (4),HATE
 Couldn't stand (5),HATED
 Unpopular. and then some (5),HATED
 Misanthrope. for one (5),HATER
 Boater and sailor (4),HATS
 Boater and sailor (4),HATS
 Porkpies (4),HATS
 African trade language (5),HAUSA
 Caribbean city (6),HAVANA
" ""____ Gun - Will Travel"" (4)",HAVE
 Contain (4),HAVE
 Possess (4),HAVE
 Transplant-surgeon's offer? (10),HAVEAHEART
 Utter chaos (5),HAVOC
 Warmonger (4),HAWK
 Hems' partners (4),HAWS
 Grasslands job (6),HAYING
" Robert of ""Airplane!"" (4)",HAYS
 Confused state of mind. (4),HAZE
 Initiate. in a way (4),HAZE
 Visibility problem (4),HAZE
 Maid-for-TV? (5),HAZEL
 Initiates. frat-style (5),HAZES
 Confused (4),HAZY
 Unclear (4),HAZY
 Certain TV special (10),HBOFEATURE
 Enterprise lavatory (4),HEAD
 Facilities. aboard ship (4),HEAD
 Highest in rank (4),HEAD
 John. at sea? (4),HEAD
 Peruke support (4),HEAD
 Pointy-__ (intellectual) (6),HEADED
 Directly (6),HEADON
 Face to face conflict (6),HEADON
 Coin-toss option (5),HEADS
 In conflict (10),HEADTOHEAD
 Make sound (4),HEAL
 Patch up (4),HEAL
 Gets better (5),HEALS
 Compost place (4),HEAP
 Pile (4),HEAP
 Piled high (6),HEAPED
 Get an earful (4),HEAR
 Pay close attention to (4),HEAR
 Procession car (6),HEARSE
 Vehicle for one's last ride (6),HEARSE
" ""Cosmopolitan"" publisher (6)",HEARST
" Early ""yellow journalism"" practitioner (6)",HEARST
 Artichoke morsel (5),HEART
 Ticker (5),HEART
 Ticker (5),HEART
 Open-__ furnace (6),HEARTH
 Sounds in the night? (10),HEARTHINGS
 Court call (6),HEARYE
 Kind of wave (4),HEAT
 Miami five (4),HEAT
 Miami quintet (4),HEAT
 Pressure (4),HEAT
 Pressure. slangily (4),HEAT
 Summer wave (4),HEAT
 Topic in the tropics (4),HEAT
 Word with dead or prickly (4),HEAT
 Intensify (6),HEATUP
 Fling (5),HEAVE
 Toss (5),HEAVE
" ""Marnie"" star (6)",HEDREN
 Pay attention to (4),HEED
 Take seriously (4),HEED
 Listens to (5),HEEDS
 Donkey bray (6),HEEHAW
 Command to Fido (4),HEEL
 Followed. like a dog (6),HEELED
 Well ___ (rich) (6),HEELED
 Loaf ends (5),HEELS
 Dickens villain (4),HEEP
 Lift up (4),HEFT
 Weight (4),HEFT
 Laughter units (4),HEHS
 Skater Eric (6),HEIDEN
" Wasserstein's ""The __ Chronicles"" (5)",HEIDI
 Future milk source (6),HEIFER
" ""Deutschland"" poet Heinrich (5)",HEINE
 He's got it coming to him (4),HEIR
 Prince William. for one (4),HEIR
 Will beneficiary (4),HEIR
 Committed a gridiron no-no (4),HELD
 Kept back (4),HELD
 Kept a tight grip (6),HELDON
 Clung (6),HELDTO
 Troy lady (5),HELEN
 Pad or port lead in (4),HELI
 Port or copter starter (4),HELI
 Nether world (4),HELL
 War. to Sherman (4),HELL
" ""Greetings!"" (5)",HELLO
 How-do-you-do (5),HELLO
 Start of a phone conversation (5),HELLO
 David Merrick production (10),HELLODOLLY
 Captain's spot (4),HELM
 Tiller (4),HELM
 Part of a football player's uniform (6),HELMET
 Germany's Kohl (6),HELMUT
 Spartan serf (5),HELOT
" ""SOS!"" (4)",HELP
 Fab Four flick (4),HELP
 Fab Four flick (4),HELP
 Go to bat for (4),HELP
 Tech support. e.g. (4),HELP
 Model of virility (5),HEMAN
 Muscle builder (5),HEMAN
 Sphere fronter (4),HEMI
 Sphere parts (5),HEMIS
 Stat start (4),HEMO
 Rope fiber (4),HEMP
 __ in (surrounds) (4),HEMS
 Ice star Sonja (5),HENIE
 Olympic skater Sonja (5),HENIE
 Rinse shade (5),HENNA
" ""Under Fire"" novelist Barbusse (5)",HENRI
 One of eight kings (5),HENRY
 Patrick or Buck (5),HENRY
 Barnyard brooders (4),HENS
 Biddies (4),HENS
 Fusspots (4),HENS
 Layers (4),HENS
 Roost dwellers (4),HENS
 Consort of Zeus (4),HERA
 Greek queen of heaven (4),HERA
 The wife and sister of Zeus (4),HERA
 Announce (6),HERALD
 Kind of angels. in the carol (6),HERALD
 Flavorer (4),HERB
 Hall of Famer Pennock (4),HERB
 Oregano. e.g. (4),HERB
 Spice (4),HERB
 Bunch of cows (4),HERD
 Group of bovine (4),HERD
" ""From __ To Eternity"" (4)",HERE
" ""__ goes nothing!"" (4)",HERE
 Command to Fido (4),HERE
 On this page (4),HERE
 Present (4),HERE
 Roll call word (4),HERE
 Roll-call call (4),HERE
 Roll-call call (4),HERE
 Roll-call reply (4),HERE
 Roll-call response (4),HERE
 Common toast starter (5),HERES
 Battle star (4),HERO
 Big sandwich (4),HERO
 Big sandwich (4),HERO
 Brave warrior (4),HERO
 Good guy (4),HERO
 Guy in the white hat (4),HERO
 Lead actor (4),HERO
 Lifesaver (4),HERO
 She loved Leander (4),HERO
 Illegal stuff (6),HEROIN
 Bittern. e.g. (5),HERON
 Beethoven's title? (4),HERR
 Frau's guy (4),HERR
 Half a matched set (4),HERS
 Towel word (4),HERS
" ""For __ jolly ..."" (4)",HESA
" ""__ real nowhere man ..."" (4)",HESA
 Piano-playing Dame (4),HESS
" ""Steppenwolf"" author (5)",HESSE
 Miss Prynne (6),HESTER
 Emotional (5),HETUP
 Put an ax to (5),HEWED
 Shaped with an axe (5),HEWED
 Felled (4),HEWN
 Felled. as with an axe (4),HEWN
 Chops down (4),HEWS
 Takes an axe to (4),HEWS
 Spell caster (5),HEXER
 Break (6),HIATUS
" He held the ""Dead Man's Hand"" (6)",HICKOK
" ""The Peaceable Kingdom"" artist (5)",HICKS
 Store away (4),HIDE
 ___-and-seek (4),HIDE
 Trapper's quest (5),HIDES
 Made haste (4),HIED
 Went quickly (4),HIED
 Greek Sicilian ruler (5),HIERO
 Sacred: Prefix (5),HIERO
 Hotfoots it! (4),HIES
 It played the Platters' platters (4),HIFI
 Musical apparatus. briefly (4),HIFI
 Tide type (4),HIGH
 Ritz alternative (4),HIHO
 Puts the ball in play (5),HIKES
 Broom __ (comics witch) (5),HILDA
 Jean Simmons title role (10),HILDACRANE
 Sledding locales (5),HILLS
 City on Hawaii (4),HILO
 Handgrip (4),HILT
 Sword handles (5),HILTS
 Postern (4),HIND
 Exploder of 1937 (10),HINDENBURG
 Get in the way of (6),HINDER
" Language from which ""pajamas"" came (5)",HINDI
 Duncan __ cake mix (5),HINES
 Stamp-album stickers (6),HINGES
 Hybrid offspring (5),HINNY
" ""Getting warmer."" e.g. (4)",HINT
 Bit of useful info (4),HINT
 Clue (4),HINT
 Drop a suggestion (4),HINT
 Suggest subtly (6),HINTAT
 Cheer starters (4),HIPS
 Skirt huggers (4),HIPS
 Cognizant of (5),HIPTO
 U. S. Grant's first name (5),HIRAM
 Bring on board (4),HIRE
 Bring on board (4),HIRE
 Put to work (4),HIRE
 Rent. as a car (4),HIRE
 Take on (4),HIRE
 Took on (5),HIRED
 Took on (5),HIRED
 Puts to work (5),HIRES
 Takes on (5),HIRES
 Trailer need (5),HITCH
 Author Shere (4),HITE
 Bandleader's cue (5),HITIT
 What a lucky one might do (10),HITPAYDIRT
 Prepare for action (10),HITTHEDECK
 Where the queen resides (4),HIVE
 Allergic reaction (5),HIVES
 Places that are all abuzz (5),HIVES
 Apt greeting for this puzzle? (10),HIYOSILVER
 Insurance grs. (4),HMOS
 Med. plans (4),HMOS
 Act the miser (5),HOARD
 Hidden fund (5),HOARD
 Hoodwink (4),HOAX
 Comic strip tiger (6),HOBBES
 Clown type (4),HOBO
 Pawn (4),HOCK
 Pawns (5),HOCKS
 Pocus' partner (5),HOCUS
 Nonsense (10),HOCUSPOCUS
 Broke new ground (4),HOED
 Did some weeding (4),HOED
 Garden chore (6),HOEING
" ""The Tao of Pooh"" author Benjamin (4)",HOFF
 Big name in cement? (5),HOFFA
 Lost union leader (5),HOFFA
" ""__ Heroes"" (6)",HOGANS
 Syllables from Santa (4),HOHO
 __ with one's own petard (5),HOIST
 Mechanically raises up (6),HOISTS
 Countdown delay (4),HOLD
 Stick fast (4),HOLD
 Cargo areas (5),HOLDS
 Aperture (4),HOLE
 Was boring? (5),HOLED
 Like Swiss cheese? (5),HOLEY
" ""Gentleman's Agreement"" Oscar-winner Celeste (4)",HOLM
 Actress Celeste (4),HOLM
 Divine (4),HOLY
 Sacred (4),HOLY
" ""Fourth base"" (4)",HOME
" ""__. James!"" (4)",HOME
 Abode (4),HOME
 Digs. in Soho (4),HOME
 Dwelling (4),HOME
 Visitor's opponent (4),HOME
 Website base: ____ page (4),HOME
 Baseball player's goal (5),HOMER
 Domiciles (5),HOMES
 Man of LeMans (5),HOMME
 __ erectus (4),HOMO
 Fine-tune (4),HONE
 Make perfect (4),HONE
 Perfect. as a skill (4),HONE
 Put an edge on (4),HONE
 Sharpen (4),HONE
 Sharpen (4),HONE
 Sharpen (4),HONE
 Whet (4),HONE
 Put an edge on (5),HONED
 Whets (5),HONES
 Comb contents (5),HONEY
 Hagar the Horrible's daughter (4),HONI
 Made like a goose (6),HONKED
 Cowl (4),HOOD
 Ruffian (4),HOOD
 Umbrella alternative (4),HOOD
 Like cobras and parkas (6),HOODED
 Dance. slangliy (4),HOOF
 Disarmed captain? (4),HOOK
 Some floor coverings (10),HOOKEDRUGS
 It's subject to a Shaq attack (4),HOOP
 Brouhaha (6),HOOPLA
 Amusing antic (4),HOOT
 Jeer (4),HOOT
 Anthony or Bob (4),HOPE
" Bob of ""Road"" films (4)",HOPE
 Clinton's birthplace (4),HOPE
 Wish for (4),HOPE
 Wish for something (4),HOPE
 Didn't despair (5),HOPED
 Native Arizonan (4),HOPI
 Native Arizonan (4),HOPI
 Pueblo people (4),HOPI
 Pueblo people (4),HOPI
 Pueblo people (4),HOPI
 Western tribe (4),HOPI
 One-foot jumps (4),HOPS
 Teen dances (4),HOPS
 Circle dance (4),HORA
 Circle dance (4),HORA
 Israeli dance (4),HORA
 Round dance (4),HORA
 Goddesses of the seasons (5),HORAE
 Car alarm (4),HORN
 Extremity of the crescent moon (4),HORN
 French or English (4),HORN
 Reindeer's Christmas tree decorations? (10),HORNAMENTS
 Mezzo Marilyn (5),HORNE
 Bloodcurdling genre (6),HORROR
 ___ d'oeuvre (4),HORS
 ____ d'oeuvre (4),HORS
 Mister Ed. for one (5),HORSE
 Team member (5),HORSE
 Actor Buchholtz (5),HORST
 Gardener's need (4),HOSE
 Gardening aid (4),HOSE
 Gardening aid (4),HOSE
 Leg coverings (4),HOSE
 Stockings (4),HOSE
 Book of the Old Testament (5),HOSEA
 Old Testament prophet (5),HOSEA
 Prophetic book of the Bible (5),HOSEA
 Off or down preceder (5),HOSED
 Choose sides for a child's game down east (5),HOSEY
 ER site (4),HOSP
 Parasite's place (4),HOST
 Party thrower (4),HOST
 Party thrower (4),HOST
 Trebek. for one (4),HOST
 Biker's stop (6),HOSTEL
 Showoffs on the slopes (10),HOTDOGGERS
 Table d'__ (communal meal) (4),HOTE
 Boardwalk buy (5),HOTEL
 Place of lodging (5),HOTEL
 Ritz. for example (5),HOTEL
 Atlantic City edifices (6),HOTELS
 Spa soaker (6),HOTTUB
 Day part (4),HOUR
 Day part (4),HOUR
 Lunch break. perhaps (4),HOUR
 One of 24 (4),HOUR
 One of 24 (4),HOUR
 Clock measurements (5),HOURS
 Where you can find a sun parlor (5),HOUSE
 THE REALTOR PLAYED A __ (10),HOUSEORGAN
 They're reserved at a theater (10),HOUSESEATS
 Hurled (4),HOVE
 Dumpy digs (5),HOVEL
 Everglades vehicle (10),HOVERCRAFT
 Freckled star of old TV (10),HOWDYDOODY
 Bookstore aisle. perhaps (5),HOWTO
 Significant other (5),HUBBY
 Major airports (4),HUBS
 Shades (4),HUES
 Shades (4),HUES
" ""The Kingfish"" (4)",HUEY
 Louisiana's Long (4),HUEY
 Blew (6),HUFFED
 Humongous (4),HUGE
 Large. and then some (4),HUGE
 Really big (4),HUGE
 French writer Victor ___ (4),HUGO
 Hunchback creator Victor (4),HUGO
 Greets with gusto (4),HUGS
 {({{})}}. in e-mail (4),HUGS
 Luau dance (4),HULA
 Luau dance (4),HULA
 Hefty fellows (5),HULKS
" ""Howdy do!"" (5)",HULLO
 __ being (5),HUMAN
 Merciful (6),HUMANE
 Muggy (5),HUMID
 Bactrian pair (5),HUMPS
 Bustles (4),HUMS
 Pinned up (4),HUNG
 Barbarous people (4),HUNS
 Peck's partner (4),HUNT
 Fling (4),HURL
 Erie's neighbor (5),HURON
 Great Lake (5),HURON
 Natural events (10),HURRICANES
" ""Back Street"" novelist Fannie (5)",HURST
 Offended (4),HURT
 Wounded (4),HURT
 Experiences pain (5),HURTS
 Brazen female (5),HUSSY
 Get-up-and-go (6),HUSTLE
 Move swiftly (6),HUSTLE
 Rabbit pen (5),HUTCH
 Jabba the ___ (4),HUTT
 Chain member? (5),HYATT
 Fictional alter-ego (4),HYDE
 Park home of FDR (4),HYDE
 West End park (4),HYDE
 One of Hercules' victims (5),HYDRA
 Laughing ___ (5),HYENA
 Laughing carnivore (5),HYENA
" Lena the __ of ""Li'l Abner"" (5)",HYENA
 Serengeti scavengers (6),HYENAS
 Moving quickly (5),HYING
 Sunday song (4),HYMN
 Promote zealously (4),HYPE
 High-strung (5),HYPER
 Publicity stunts (5),HYPES
 Twisted-leaf tea (5),HYSON
 Othello's ensign (4),IAGO
 Rival of Cassio (4),IAGO
 Rival of Cassio (4),IAGO
 Metrical foot (4),IAMB
 Metrical foot (4),IAMB
 Poetic foot (4),IAMB
 Metrical feet (5),IAMBI
 Kind of pentameter (6),IAMBIC
 Shakespeare's feet (5),IAMBS
 Fleming and Paisley (4),IANS
 Former capital of Romania (4),IASI
" ""Must've been something __"" (4)",IATE
 Construction beam (4),IBAR
 Construction support (4),IBAR
 Construction support (4),IBAR
 Construction members (5),IBARS
 Support system? (5),IBARS
 Steel support (5),IBEAM
" ""Likely story!"" (4)",IBET
" ""Oh. sure!"" (4)",IBET
 As if! (4),IBET
 Cynical rejoinder (4),IBET
 Yeah. right. (4),IBET
 Long-horned wild goat (4),IBEX
 In the same place. in footnotes (4),IBID
 Term paper term (6),IBIDEM
 Hieroglyphics bird (4),IBIS
 Stork relative (4),IBIS
 Stork-like bird (4),IBIS
 Stork-like wader (4),IBIS
 Storklike bird (4),IBIS
" ""Ghosts"" writer (5)",IBSEN
" ""Ghosts"" writer (5)",IBSEN
" ""Peer Gynt"" penner (5)",IBSEN
 Arbitrageur and options specialist. Carl _____ (5),ICAHN
 Start of a famous boast (5),ICAME
 Words of confidence (4),ICAN
 Quitter's comment (5),ICANT
 ___ begin to tell you... (5),ICANT
 Part of the Pleistocene epoch (6),ICEAGE
 Hangover helper (6),ICEBAG
 Fridge ancestor (6),ICEBOX
 Place for a late night snack? (6),ICEBOX
 Bering Strait sight (6),ICECAP
 Everest topper (6),ICECAP
 Chilled (4),ICED
 Like some tea (4),ICED
 Like summer tea (4),ICED
 On the rocks (4),ICED
 Tossed in some cubes (4),ICED
 Popular summer cooler (4),ICEE
" ""The __ Cometh"" (6)",ICEMAN
 Vendors of yore (6),ICEMEN
 Bakery employee (4),ICER
 Bakery gadget (4),ICER
 Cupcake decorator (4),ICER
 Cupcake finisher (4),ICER
 Pastry finisher (4),ICER
 Writers of sweet words? (5),ICERS
 Frozen desserts (4),ICES
 Rubs out (4),ICES
 Summer coolers (4),ICES
 Summer treat (4),ICES
 Summer treat (4),ICES
 Summer treat (4),ICES
" ""Rhyme Pays"" rapper (4)",ICET
" Musician who co-starred in ""Trespass"" (4)",ICET
 Noted rap artist (4),ICET
 Rapper of note (4),ICET
 Rapper/actor (4),ICET
 Become frozen (5),ICEUP
 Winter formation (6),ICICLE
 Wintery decoration (6),ICICLE
 More chilling (5),ICIER
 More chilling (5),ICIER
 Not so hot (5),ICIER
 Baker's coup de grace (5),ICING
 Cup cake topper (5),ICING
 Clickable item (4),ICON
 Computer-screen image (4),ICON
 Mouse target (4),ICON
 Niche occupant (4),ICON
 Symbol (4),ICON
 Windows picture (4),ICON
 Relating to a symbol (6),ICONIC
 Computer symbols (5),ICONS
 Boise's state (5),IDAHO
 Sawtooth Mountains locale (5),IDAHO
 Sun Valley site (5),IDAHO
 Where Moscow can be found (5),IDAHO
" ""___ you!"" (5)",IDARE
 Brain wave (4),IDEA
 Brain wave (4),IDEA
 Brainchild (4),IDEA
 Brilliant thought (4),IDEA
 Comic light bulb? (4),IDEA
 Concept (4),IDEA
 Concept (4),IDEA
 Free-association tidbit (4),IDEA
 Impression (4),IDEA
 Invention necessity (4),IDEA
 Inventor's seed (4),IDEA
 Inventor's spark (4),IDEA
 It's just a thought (4),IDEA
 Light bulb. in comics (4),IDEA
 Light bulb. in comics (4),IDEA
 Lightbulb. in a cartoon (4),IDEA
 Notion (4),IDEA
 Edenic (5),IDEAL
 Model (5),IDEAL
 Perfect (5),IDEAL
 Perfect (5),IDEAL
" ""Got any more brilliant ___?"" (5)",IDEAS
 Abstractions (5),IDEAS
 Conceptions (5),IDEAS
 Notions (5),IDEAS
 Form an idea (6),IDEATE
 It popped into Descartes's head (4),IDEE
 Parisian plan (4),IDEE
 As mentioned (4),IDEM
 As mentioned before (4),IDEM
 Wallet contents. for short (5),IDENT
 Gram or graph starter (4),IDEO
 Thoughtful prefix (4),IDEO
 Thoughtful prefix (4),IDEO
 15th. sometimes (4),IDES
 Bad day for Caesar (4),IDES
 Bad time for Caesar (4),IDES
 Bad times for Caesar (4),IDES
 Least favorite times for Caesar (4),IDES
 March 15. e.g (4),IDES
 March time (4),IDES
 Mid-month. to Nero (4),IDES
 Phrase of explanation (5),IDEST
" Prefix meaning ""personal"" (4)",IDIO
" Prefix meaning ""personal"" (4)",IDIO
" ""In the doghouse."" e.g. (5)",IDIOM
 Jargon (5),IDIOM
 Bonehead (5),IDIOT
 Bonehead (5),IDIOT
 __-proof (easy to operate) (5),IDIOT
 Cleese's cohort. once (4),IDLE
 Inactive (4),IDLE
 Like chatter. perhaps (4),IDLE
 Not in use (4),IDLE
 Run in neutral (4),IDLE
 Run in neutral (4),IDLE
 Twiddling one's thumbs (4),IDLE
 Unoccupied (4),IDLE
 Without work (4),IDLE
 Ran without going anywhere (5),IDLED
 Twiddled one's thumbs (5),IDLED
 Loafer (5),IDLER
 Ne'er-do-well (5),IDLER
 Sluggards (6),IDLERS
 Without purpose (4),IDLY
 Merrick musical (6),IDOIDO
 Baal. e.g. (4),IDOL
 Graven image (4),IDOL
 Graven image (4),IDOL
 Graven image (4),IDOL
 Graven image (4),IDOL
 Hollywood hotshot (4),IDOL
 Matinee star (4),IDOL
 Object of adoration (4),IDOL
 Object of worship (4),IDOL
 Rocker Billy (4),IDOL
 Show biz star (4),IDOL
 Tiki. e.g. (4),IDOL
 False gods (5),IDOLS
 Graven images (5),IDOLS
 The Beatles. to many (5),IDOLS
 Shocking words at a wedding? (6),IDONOT
" ""__ Care Anymore"" (Collins hit) (5)",IDONT
 Specialty prepared by a Boise short order cook? (10),IDPOTATOES
 Pastoral poem (4),IDYL
 Short. peaceful poem (4),IDYL
 Charmingly simple episodes (6),IDYLLS
 MIT grad. soc. (4),IEEE
" The Beatles' ""If __"" (5)",IFELL
 Former Spanish possession on the Atlantic coast (4),IFNI
" ""__ shoe fits..."" (5)",IFTHE
 Joke-hearer's comment (6),IGETIT
 Uncle! (5),IGIVE
" ""Nanook of the North"" home (5)",IGLOO
 Block house? (5),IGLOO
 Domed home (5),IGLOO
 Disregard (6),IGNORE
 Give the cold shoulder (6),IGNORE
" ""Prince ____"" (4)",IGOR
" Borodin's unfinished ""Prince ___"" (4)",IGOR
 Composer Stravinsky (4),IGOR
 Composer. ___ Stravinsky (4),IGOR
 Fictional lab assistant (4),IGOR
" ""__ Rhythm"" (4)",IGOT
" ""__ Rhythm"" (4)",IGOT
" ""__ Rhythm"" (4)",IGOT
" 1965 Sonny and Cher hit ""__ You Babe"" (4)",IGOT
" Sonny and Cher hit: ""___ You Babe"" (4)",IGOT
 South American lizard (6),IGUANA
" ""If __ a Hammer"" (4)",IHAD
 Pancake house chain. for short (4),IHOP
